Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
academic_articles,Response of syntrophic bacterial and methanogenic archaeal communities in paddy soil to soil type and phenological period of rice growth,Journal of Cleaner Production,,,2020,"XiaoFang Pan, Hu Li, Lixin Zhao, Xiaoru Yang, Jianqiang Su, **Shaoqing Dai**, Jing Ning, Chunxing Li, Guanjing Cai, GeFu Zhu.","278, 123418. doi:10.1016/j.jclepro.2020.123418","SCI, IF=10.0",TRUE
academic_articles,Green space access in the neighbourhood and childhood obesity,Obesity Reviews,,,2020,"Peng Jia, Xinxi Cao, Hongxi Yang, **Shaoqing Dai**, Pan He, Ganlin Huang, Tong Wu, Yaogang Wang.",1-12. doi:10.1111/obr.13100,"SCI, IF=7.4",TRUE
academic_articles,Neighbourhood speed limit and childhood obesity,Obesity Reviews,,,2020,"Miyang Luo, Hanqi Li, Xiongfeng Pan, Teng Fei, **Shaoqing Dai**, Ge Qiu, Yuxuan Zou, Heleen Vos, Jiayou Luo, Peng Jia.",1-11. doi:10.1111/obr.13052,"SCI, IF=7.4",TRUE
academic_articles,Treatment of high-ash industrial sludge for producing improved char with low heavy metal toxicity,Journal of Analytical and Applied Pyrolysis,,,2020,"Shengyu Xie, Guangwei Yu, Chunxing Li, Jie Li, Gang Wang, **Shaoqing Dai**, Yin Wang.","150, 104866. doi:10.1016/j.jaap.2020.104866","SCI, IF=6.2",TRUE
academic_articles,Access to bike lanes and childhood obesity: A systematic review and meta‐analysis,Obesity Reviews,,,2020,"Xiongfeng Pan, Li Zhao, Jiayou Luo, Yinhao Li, Lin Zhang, Tong Wu, Melody Smith, **Shaoqing Dai**, Peng Jia.",1-11. doi:10.1111/obr.13042,"SCI, IF=7.4",TRUE
academic_articles,"A spatial database of CO<SUB>2</SUB> emissions, urban form fragmentation and city-scale effect related impact factors for the low carbon urban system in Jinjiang city, China",Data in Brief,,,2020,"**Shaoqing Dai**, Shudi Zuo, Yin Ren.","29, 105274.  doi:10.1016/j.dib.2020.105274","ESCI, IF=1.4",TRUE
academic_articles,More fragmentized urban form more CO<SUB>2</SUB> emissions? An comprehensive relationship from the combination analysis across different scales,Journal of Cleaner Production,,,2020,"Shudi Zuo, **Shaoqing Dai**, Yin Ren.","244, 118659. doi:10.1016/j.jclepro.2019.118659","SCI, IF=10.0",TRUE
academic_articles,The impacts of climate and land use/land cover changes on water yield service in Ningbo region,Acta Scientiae Circumstantiae,,,2019,"Panfeng Dou, Shudi Zuo, Yin Ren, **Shaoqing Dai**, Guoliang Yun","39(7), 2398-2409. doi:10.13671/j.hjkxxb.2019.0122","CSCD, in Chinese",TRUE
academic_articles,A GIS-based high spatial resolution assessment of large-scale PV power generation potential and associated CO<SUB>2</SUB> emission reduction in China,Applied Energy,,,2019,"Qing Yang, Tianyue Huang, Saige Wang, Jiashuo Li, **Shaoqing Dai**, Sebastian Wright, Yuxuan Wang, Huaiwu Peng.","247, 254-269. doi:10.1016/j.apenergy.2019.04.005","SCI, IF=11.0",TRUE
academic_articles,PM2.5 spatiotemporal evolution and drivers in the Yangtze River Delta between 2005 and 2015,Atmosphere,,,2019,"Guoliang Yun, Yuanrong He, Yuantong Jiang, Panfeng Dou, **Shaoqing Dai**.","10(2), 55. doi:10.3390/atmos10020055","SCI, IF=2.3",TRUE
academic_articles,"Determining the Mechanisms that Influence the Surface Temperature of Urban Forest Canopies by Combining Remote Sensing Methods, Ground Observations, and Spatial Statistical Models",Remote Sensing,,,2018,"Shudi Zuo, **Shaoqing Dai**, Xiaodong Song, Chengdong Xu, Yilan Liao, Weiyin Chang, Qi Chen, Yaying Li, Jianfeng Tang, Wang Man, Yin Ren.","10(11), 1814. doi:10.3390/rs10111814","SCI, IF=4.1",TRUE
academic_articles,Analysis of Heavy Metal Sources in the Soil of Riverbanks Across an Urbanization Gradient,International Journal of Environmental Research and Public Health,,,2018,"Shudi Zuo, **Shaoqing Dai**, Yaying Li, Jianfeng Tang, Yin Ren.","15(10), 2175. doi:10.3390/ijerph15102175","SCI, IF=4.6",TRUE
academic_articles,"Influence of walking environment on robbery, snatch and theft crime in urban area, H city, China",Scientia Geographica Sinica,,,2018,"**Shaoqing Dai**, Huixian Jiang, Jiajia Li, Xian Su, Juan Wu, Yin Ren.","38(8), 1235-1244. doi:10.13249/j.cnki.sgs.2018.08.005","CSCD, in Chinese",TRUE
academic_articles,High-resolution mapping of direct CO<SUB>2</SUB> emissions and uncertainties at the urban scale,Proceedings of Spatial Accuracy 2018.,,,2018,"**Shaoqing Dai**, Shudi Zuo, Yin Ren.",88-90.,EI,
academic_articles,Improving the prediction accuracy of forest aboveground biomass benchmark map by integrating machine learning and spatial statistics,Proceedings of Spatial Accuracy 2018.,,,2018,"**SQ. Dai**, Xiaoman Zheng, Shudi Zuo, Yin Ren.",80-83,EI,
academic_articles,Individual and Interactive Influences of Anthropogenic and Ecological Factors on Forest PM2.5 Concentrations at an Urban Scale,Remote Sensing,,,2018,"Guoliang Yun, Shudi Zuo, **Shaoqing Dai**, Xiaodong. Song, Chengdong Xu, Yilan Liao, Peiqiang Zhao, Weiyin Chang, Qi Chen, Yaying Li, Jianfeng Tang, Wang Man, Yin Ren.","10(4), 521. doi:10.3390/rs10040521","SCI, IF=4.1",TRUE
academic_articles,Research on the effects of different policy tools on China’s emissions reduction innovation,"China Population, Resources and Environment",,,2018,"Qin Ye, Gang Zeng, **Shaoqing Dai**, Fenglong Wang.","28(02), 115-122. doi:10.12062/cpre.20170915","CSCD, in Chinese",TRUE
academic_articles,Research on the effects of command-and-control and market-oriented policy tools on China’s energy conservation and emissions reduction innovation,Chinese Journal of Population Resources and Environment,,,2017,"Qin Ye, **Shaoqing Dai**, Gang Zeng.","16(1), 1-11. doi:10.1080/10042857.2017.1418273.","ESCI, IF=4.8",TRUE
